s,domain,ip_address
0,google.com.,142.250.183.110
0,facebook.com.,163.70.143.35
0,doubleclick.net.,142.250.182.206
0,google-analytics.com.,142.250.66.4
0,googlesyndication.com.,142.250.192.4
0,googleapis.com.,142.250.66.4
0,googleadservices.com.,142.250.67.194
0,youtube.com.,216.58.207.238
0,twitter.com.,104.244.42.193
0,scorecardresearch.com.,165.193.78.252
0,microsoft.com.,20.112.250.133
0,googleusercontent.com.,142.250.70.65
0,apple.com.,17.253.144.10
0,yahoo.com.,98.137.11.163
0,bluekai.com.,158.101.24.210
